"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","set","DE","GO"
"BP","GO:1901137","carbohydrate derivative biosynthetic process",0.0639300134589502,0.0408445829006577,4.28125342311735e-07,1.50086204908529e-05,1.35282506378941e-05,"YLL031C/YBR023C/YCR017C/YKL216W/YIL039W/YGR216C/YER001W/YNL219C/YHR142W/YDR483W/YJL186W/YOR067C/YHR188C/YGR180C/YJL026W/YNL233W/YBR038W/YDR531W/YDL095W/YKL181W/YBR221C/YEL004W/YPL053C/YMR281W/YHR204W/YNR030W/YJL116C/YGL038C/YBL068W/YDR020C/YNL080C/YDR331W/YNL220W/YEL002C/YOL052C/YMR149W/YGR227W/YLR153C/YDL103C/YIL049W/YAL023C/YLR432W/YIL066C/YJL062W/YNR012W/YLR420W/YHR216W/YKL024C/YDL185W/YEL036C/YDL232W/YPL227C/YFL045C/YDR454C/YDL093W/YOR198C/YDR226W/YOL061W/YHR128W/YCR044C/YOR065W/YBR243C/YBR015C/YDR408C/YLR359W/YHL011C/YJL002C/YLR459W/YAR015W/YOR074C/YMR300C/YJL183W/YGR061C/YGL022W/YBR252W/YPR183W/YBL082C/YGL234W/YJR143C/YML106W/YML056C/YLR043C/YJR105W/YER003C/YOR085W/YGL226C-A/YEL042W/YBR070C/YJL130C/YMR120C/YMR217W/YDR399W/YBL039C/YML022W/YER070W",95,"corrected_B1_WT_vs_B1_ATG","Down","BP_carbohydrate derivative biosynthetic process"
"BP","GO:0042274","ribosomal small subunit biogenesis",0.0639300134589502,0.0247490481135341,4.48558370506435e-25,8.33421452400956e-23,7.5121722892183e-23,"YJR002W/YLR192C/YOL022C/YML093W/YER082C/YPL217C/YPR112C/YOR006C/YBR247C/YLR129W/YPL239W/YGR145W/YDR339C/YNL075W/YDR398W/YLL011W/YDR378C/YMR128W/YBL004W/YDL060W/YGR118W/YPR132W/YOR294W/YOR004W/YPR137W/YHR196W/YDL148C/YGL171W/YLR435W/YHR148W/YLR409C/YHR065C/YJL010C/YGR103W/YPL266W/YDR324C/YKL078W/YPL126W/YCL059C/YGR128C/YPL226W/YJL109C/YCR057C/YGL120C/YNR046W/YLR222C/YPL012W/YNL096C/YMR093W/YOR310C/YGR090W/YJL191W/YLR264W/YBR181C/YPL090C/YMR229C/YNL132W/YKL156W/YBR189W/YLR441C/YCR031C/YML063W/YOL121C/YOR096W/YHL015W/YML024W/YGR159C/YDR450W/YML026C/YMR230W/YDL083C/YMR143W/YLR186W/YBR048W/YDR025W/YJR123W/YLR167W/YDR064W/YMR290C/YBL072C/YER102W/YOR293W/YLR048W/YER074W/YIL069C/YJL136C/YGR214W/YPR144C/YOL040C/YOR167C/YNL302C/YDR447C/YEL026W/YHR021C/YKR057W",95,"corrected_B1_WT_vs_B1_ATG","Down","BP_ribosomal small subunit biogenesis"
"BP","GO:0070925","organelle assembly",0.063257065948856,0.0351332641052267,9.22756442527191e-11,5.9120050697087e-09,5.32887658824233e-09,"YBL034C/YOR014W/YFR021W/YCR002C/YGL097W/YBR127C/YLR022C/YBL063W/YDR232W/YPR112C/YLR221C/YHL007C/YHR107C/YKR081C/YHR115C/YOR373W/YCR077C/YHR066W/YIR012W/YLL008W/YCR093W/YKL025C/YFR046C/YNL016W/YOR276W/YFR028C/YHR172W/YPR016C/YMR001C/YEL055C/YLL014W/YNL182C/YCL024W/YJL187C/YIL110W/YGL008C/YDL160C/YDR507C/YBR160W/YLR009W/YCR072C/YOL080C/YIR026C/YPR041W/YGR162W/YGL099W/YLR106C/YDR060W/YCR057C/YGR085C/YHR197W/YPL211W/YOL077C/YLR075W/YOR063W/YPR119W/YJL191W/YFL037W/YPR129W/YLR264W/YKL009W/YMR229C/YKL156W/YCR031C/YOL127W/YPR102C/YOL121C/YML024W/YLR340W/YGL189C/YGR159C/YMR230W/YPL131W/YGR148C/YBR048W/YDR025W/YIL148W/YKR094C/YDR418W/YEL054C/YJR123W/YLR167W/YOR293W/YML073C/YER131W/YLR048W/YGL031C/YGR214W/YOL040C/YLR448W/YOR167C/YNL302C/YDR447C/YHR021C",94,"corrected_B1_WT_vs_B1_ATG","Down","BP_organelle assembly"
"BP","GO:0071826","ribonucleoprotein complex subunit organization",0.063257065948856,0.0313257182416061,1.72201098801255e-14,1.88205671513372e-12,1.69642073184394e-12,"YLR192C/YPL235W/YER007C-A/YPR112C/YLR221C/YKR081C/YCR077C/YDL031W/YPR182W/YHR066W/YIR012W/YLL008W/YDR429C/YFR005C/YPR016C/YNL244C/YEL055C/YNL182C/YIL110W/YGR074W/YHR086W/YMR260C/YMR186W/YNL061W/YLR009W/YCR072C/YCR060W/YOL080C/YIR026C/YPR041W/YPR163C/YER025W/YGR162W/YGL099W/YJR007W/YMR146C/YLR106C/YNL124W/YPL237W/YNL112W/YDR060W/YJL138C/YKR059W/YOR272W/YOL139C/YCR057C/YGL120C/YPL093W/YOR204W/YBR079C/YGR085C/YNL175C/YHR197W/YPL211W/YMR309C/YOR361C/YOL077C/YLR075W/YOR063W/YJL191W/YLR264W/YKL009W/YMR229C/YKL156W/YCR031C/YOL127W/YPR102C/YOL121C/YML024W/YLR340W/YGR159C/YMR230W/YPL131W/YGR148C/YBR048W/YDR025W/YIL148W/YKR094C/YDR418W/YEL054C/YJR123W/YLR167W/YOR293W/YML073C/YLR048W/YGL031C/YGR214W/YLR325C/YOL040C/YLR448W/YOR167C/YNL302C/YDR447C/YHR021C",94,"corrected_B1_WT_vs_B1_ATG","Down","BP_ribonucleoprotein complex subunit organization"
"BP","GO:0042273","ribosomal large subunit biogenesis",0.063257065948856,0.0218068535825545,4.37188208665938e-31,9.02550768557014e-29,8.13527999985388e-29,"YKR024C/YPR169W/YLR221C/YPL043W/YKR081C/YGL111W/YDL031W/YHR066W/YIR012W/YLL008W/YBR142W/YLL034C/YOR294W/YGL246C/YPR016C/YLR276C/YEL055C/YOR206W/YNL182C/YIL110W/YLR002C/YLR435W/YDL208W/YNL061W/YLL035W/YLR009W/YCR072C/YGR245C/YOL080C/YOL144W/YIR026C/YER006W/YDR496C/YOL041C/YGR162W/YGL099W/YGR103W/YLR106C/YJL122W/YDR060W/YOR272W/YER126C/YDL063C/YPL198W/YGL120C/YGL078C/YNR046W/YPL093W/YNR038W/YKL014C/YGR085C/YHL001W/YHR197W/YPL211W/YDR500C/YOL077C/YLR075W/YOR063W/YHL033C/YMR049C/YDL136W/YDL191W/YKL009W/YLR185W/YMR229C/YHR052W/YOL127W/YLL045C/YGL135W/YPL220W/YPR102C/YLR344W/YJL177W/YGR034W/YLR340W/YGL189C/YOR234C/YPL131W/YGR148C/YKL180W/YPL143W/YIL148W/YKR094C/YGL076C/YDR418W/YEL054C/YMR290C/YDR091C/YML073C/YER131W/YKL006W/YGL031C/YLR448W/YEL026W",94,"corrected_B1_WT_vs_B1_ATG","Down","BP_ribosomal large subunit biogenesis"
"CC","GO:0099080","supramolecular complex",0.0626262626262626,0.0441558441558442,6.71402158128666e-05,0.000798968568173112,0.000685536940405059,"YGR080W/YLR192C/YBL034C/YOR014W/YBL026W/YCR002C/YBR127C/YBL063W/YDR374W-A/YGR155W/YOR269W/YDL140C/YGL245W/YCR077C/YNR052C/YKL181W/YKL035W/YDR320C-A/YBR212W/YGL009C/YML085C/YDR378C/YCR093W/YDR172W/YBL016W/YKL025C/YCR088W/YFR046C/YDR432W/YDR429C/YMR198W/YNL016W/YHR172W/YPL184C/YML124C/YBR143C/YLR175W/YBR156C/YOR046C/YDL160C/YBR233W-A/YNL288W/YMR260C/YAL021C/YDL167C/YBR160W/YFL045C/YDR016C/YLR244C/YDR023W/YFL039C/YIR026C/YPR163C/YER165W/YGR162W/YCR086W/YBL031W/YJR007W/YMR146C/YOL123W/YGL105W/YPL241C/YJL138C/YKR059W/YOL139C/YOR204W/YBR079C/YNL209W/YLR180W/YMR309C/YNL255C/YOR361C/YLR249W/YFL037W/YGR185C/YPR129W/YMR012W/YBR025C/YLR212C/YGR234W/YER110C/YLR287C-A/YOR182C/YNL197C/YCL037C/YLR186W/YGR264C/YOR359W/YGR214W/YKL081W/YKL056C/YBR238C/YOR073W",93,"corrected_B1_WT_vs_B1_ATG","Down","CC_supramolecular complex"
"BP","GO:0006520","cellular amino acid metabolic process",0.0625841184387618,0.0418830044998269,6.07534059292372e-06,0.000176374731588317,0.000158978073739172,"YLR351C/YIR023W/YIL116W/YDL066W/YOR251C/YDR035W/YDR127W/YNR050C/YGR155W/YEL046C/YCL009C/YGL245W/YMR108W/YMR083W/YNL104C/YPR118W/YGL009C/YKL029C/YIR034C/YLR355C/YHR033W/YDR111C/YER023W/YNL135C/YOR168W/YAL044C/YGL026C/YJR025C/YIL101C/YBR263W/YHR208W/YER052C/YDR023W/YDR019C/YER055C/YDR234W/YDL219W/YIL051C/YLR089C/YDL171C/YGL148W/YOL097C/YPR060C/YPR033C/YNL247W/YGL105W/YPL273W/YOR136W/YGR094W/YDR321W/YMR300C/YGR124W/YPL111W/YGR061C/YER043C/YHR205W/YDR158W/YLL018C/YOR202W/YIL078W/YDR341C/YHR020W/YPL160W/YPR047W/YBL076C/YER086W/YLR180W/YFL022C/YLR060W/YGR185C/YBR249C/YDR037W/YJL200C/YHR019C/YJL130C/YLR044C/YMR217W/YGL202W/YAL012W/YCR053W/YBR084W/YLR058C/YHR025W/YJR016C/YMR303C/YPR145W/YGR264C/YMR189W/YOR108W/YBL039C/YLR134W/YCL064C/YOL086C",93,"corrected_B1_WT_vs_B1_ATG","Down","BP_cellular amino acid metabolic process"
"BP","GO:0022618","ribonucleoprotein complex assembly",0.0619111709286676,0.0302872966424368,1.24760446246129e-14,1.44878068203318e-12,1.30588072353679e-12,"YLR192C/YPL235W/YER007C-A/YPR112C/YLR221C/YKR081C/YCR077C/YDL031W/YPR182W/YHR066W/YIR012W/YLL008W/YDR429C/YFR005C/YPR016C/YNL244C/YEL055C/YNL182C/YIL110W/YGR074W/YHR086W/YMR260C/YMR186W/YNL061W/YLR009W/YCR072C/YCR060W/YOL080C/YIR026C/YPR041W/YPR163C/YER025W/YGR162W/YGL099W/YJR007W/YMR146C/YLR106C/YNL124W/YPL237W/YNL112W/YDR060W/YJL138C/YKR059W/YOL139C/YCR057C/YPL093W/YOR204W/YBR079C/YGR085C/YNL175C/YHR197W/YPL211W/YMR309C/YOR361C/YOL077C/YLR075W/YOR063W/YJL191W/YLR264W/YKL009W/YMR229C/YKL156W/YCR031C/YOL127W/YPR102C/YOL121C/YML024W/YLR340W/YGR159C/YMR230W/YPL131W/YGR148C/YBR048W/YDR025W/YIL148W/YKR094C/YDR418W/YEL054C/YJR123W/YLR167W/YOR293W/YML073C/YLR048W/YGL031C/YGR214W/YLR325C/YOL040C/YLR448W/YOR167C/YNL302C/YDR447C/YHR021C",92,"corrected_B1_WT_vs_B1_ATG","Down","BP_ribonucleoprotein complex assembly"
"BP","GO:0140694","non-membrane-bounded organelle assembly",0.0598923283983849,0.0275181723779855,2.05880808574713e-16,2.73233244522726e-14,2.46282982287495e-14,"YBL034C/YCR002C/YGL097W/YBR127C/YLR022C/YBL063W/YPR112C/YLR221C/YHL007C/YHR107C/YKR081C/YHR115C/YOR373W/YCR077C/YHR066W/YIR012W/YLL008W/YCR093W/YKL025C/YFR046C/YNL016W/YOR276W/YHR172W/YPR016C/YMR001C/YEL055C/YNL182C/YCL024W/YJL187C/YIL110W/YGL008C/YDL160C/YDR507C/YBR160W/YLR009W/YCR072C/YOL080C/YIR026C/YPR041W/YGR162W/YGL099W/YLR106C/YDR060W/YCR057C/YGR085C/YHR197W/YPL211W/YOL077C/YLR075W/YOR063W/YPR119W/YJL191W/YFL037W/YPR129W/YLR264W/YKL009W/YMR229C/YKL156W/YCR031C/YOL127W/YPR102C/YOL121C/YML024W/YLR340W/YGL189C/YGR159C/YMR230W/YPL131W/YGR148C/YBR048W/YDR025W/YIL148W/YKR094C/YDR418W/YEL054C/YJR123W/YLR167W/YOR293W/YML073C/YER131W/YLR048W/YGL031C/YGR214W/YOL040C/YLR448W/YOR167C/YNL302C/YDR447C/YHR021C",89,"corrected_B1_WT_vs_B1_ATG","Down","BP_non-membrane-bounded organelle assembly"
"CC","GO:0015934","large ribosomal subunit",0.0592592592592593,0.0226839826839827,8.10485363244071e-24,4.13347535254476e-22,3.54663519855676e-22,"YGL068W/YLR312W-A/YML009C/YLR439W/YPL183W-A/YNL122C/YKR085C/YDL081C/YLR009W/YDR496C/YGL099W/YFL034C-A/YDL130W/YNL067W/YBL027W/YBR084C-A/YPL198W/YLR029C/YGR085C/YHL001W/YDR500C/YLR075W/YOR063W/YBL092W/YHL033C/YDL136W/YDL191W/YMR194W/YLR185W/YDL133C-A/YDL184C/YDR471W/YBL087C/YER117W/YOL127W/YLL045C/YGL135W/YPL220W/YPR102C/YHR010W/YLR344W/YGL103W/YNL301C/YOL120C/YJL177W/YLR406C/YNL069C/YGR034W/YLR340W/YOR234C/YIL052C/YDL075W/YFR031C-A/YIL018W/YIL133C/YPL131W/YBR191W/YHR141C/YNL162W/YGR148C/YJR094W-A/YPR043W/YPL249C-A/YKL180W/YPL143W/YIL148W/YKR094C/YGL076C/YDR418W/YEL054C/YLR061W/YOL039W/YPL079W/YMR142C/YML073C/YER056C-A/YBR031W/YKL006W/YGL031C/YDL082W/YDR012W/YLR325C/YLR448W/YGL147C/YDR382W/YFR032C-A/YGL030W/YJL189W",88,"corrected_B1_WT_vs_B1_ATG","Down","CC_large ribosomal subunit"
"BP","GO:0010608","posttranscriptional regulation of gene expression",0.0572005383580081,0.0349601938386985,1.84797684408772e-07,7.30540633258508e-06,6.58484022159813e-06,"YDR194C/YNR045W/YMR247C/YCR059C/YJL087C/YLR172C/YGR083C/YPR112C/YLR203C/YCR077C/YNR052C/YOL021C/YNL232W/YPL215W/YBR212W/YGR222W/YCR093W/YBL051C/YDR172W/YKL025C/YGR158C/YDL224C/YDR432W/YIL137C/YNL016W/YOR276W/YLR291C/YGR195W/YBR246W/YPL184C/YNL244C/YDL111C/YOR001W/YGL169W/YIL110W/YGL195W/YDL160C/YFR009W/YNL288W/YOR260W/YAL021C/YGL178W/YLL013C/YPR041W/YJL050W/YDR496C/YER025W/YDR266C/YER165W/YGR162W/YKR026C/YKL191W/YER049W/YJR091C/YNL112W/YBL024W/YJL138C/YKR059W/YPL226W/YOL139C/YGR054W/YOR051C/YOR204W/YNL255C/YDR385W/YOR133W/YAL003W/YPR129W/YEL034W/YLR264W/YLR212C/YBR189W/YGL123W/YGL014W/YER153C/YNL197C/YNL069C/YCL037C/YLR150W/YIL133C/YDR091C/YOR359W/YOR167C/YMR116C/YJR047C",85,"corrected_B1_WT_vs_B1_ATG","Down","BP_posttranscriptional regulation of gene expression"
"BP","GO:0090305","nucleic acid phosphodiester bond hydrolysis",0.0565275908479139,0.0389408099688473,5.91026791466845e-05,0.00144490497177026,0.00130238729255367,"YJR002W/YML093W/YER082C/YPL217C/YER171W/YJL087C/YLR312W-A/YLR059C/YPR112C/YLR272C/YBR247C/YLR129W/YNR052C/YOL021C/YNL262W/YDR339C/YNL232W/YDR228C/YOR033C/YKR056W/YBL055C/YJR093C/YKL025C/YGR158C/YBL004W/YDL060W/YOR294W/YKL113C/YML091C/YGL246C/YOR004W/YGR195W/YPR137W/YAL043C/YER068W/YDL111C/YOR001W/YDL148C/YGL171W/YDL185W/YAL021C/YKR079C/YDL208W/YLL035W/YJR043C/YDR279W/YOL080C/YJL050W/YJL010C/YOL123W/YGL070C/YJR063W/YLR293C/YCL059C/YAR008W/YHR062C/YPR170W-B/YCL050C/YLR154C/YJL109C/YCR057C/YMR076C/YGL078C/YHR072W-A/YLR222C/YLR329W/YDR500C/YOL077C/YOR310C/YJL208C/YLR185W/YMR229C/YHR052W/YJL177W/YDR450W/YML026C/YLR186W/YKL180W/YLR048W/YJL136C/YGR214W/YPR144C/YHR021C/YKR057W",84,"corrected_B1_WT_vs_B1_ATG","Down","BP_nucleic acid phosphodiester bond hydrolysis"
"BP","GO:0034248","regulation of cellular amide metabolic process",0.0565275908479139,0.0335756317064728,4.72394122969907e-08,2.04118204762346e-06,1.8398507947249e-06,"YIR023W/YDR194C/YNR045W/YMR247C/YCR059C/YOR311C/YJL087C/YLR172C/YGR083C/YLR203C/YCR077C/YNR052C/YOL021C/YNL232W/YPL215W/YBR212W/YGR222W/YCR093W/YDR172W/YKL025C/YGR158C/YDL224C/YDR432W/YIL137C/YOR276W/YLR291C/YGR195W/YBR246W/YPL184C/YNL244C/YDL111C/YOR001W/YGL169W/YIL110W/YGL195W/YDL160C/YFR009W/YNL288W/YOR260W/YAL021C/YGL178W/YLL013C/YPR041W/YJL050W/YDR496C/YER025W/YDR266C/YER165W/YGR162W/YKR026C/YKL191W/YER049W/YJR091C/YNL112W/YBL024W/YJL138C/YKR059W/YPL226W/YOL139C/YGR054W/YOR051C/YOR204W/YNL255C/YDR385W/YOR133W/YAL003W/YPR129W/YEL034W/YLR264W/YLR212C/YBR189W/YGL123W/YGL014W/YER153C/YNL197C/YNL069C/YCL037C/YLR150W/YIL133C/YDR091C/YOR359W/YOR167C/YMR116C/YJR047C",84,"corrected_B1_WT_vs_B1_ATG","Down","BP_regulation of cellular amide metabolic process"
"BP","GO:0006913","nucleocytoplasmic transport",0.0558546433378196,0.0313257182416061,2.17224035123149e-09,1.12111738127448e-07,1.01053637392085e-07,"YGL238W/YLR347C/YDL084W/YGL097W/YPR112C/YDR381W/YBR247C/YER107C/YNL189W/YPL239W/YJR132W/YKL057C/YJR072C/YKL068W/YLR335W/YBL051C/YBL016W/YLL034C/YOR294W/YKL205W/YPR016C/YML103C/YBR034C/YBR118W/YPR080W/YAR002W/YOR112W/YDR395W/YPL169C/YOR046C/YNL055C/YMR235C/YNL064C/YER120W/YGR245C/YIR026C/YER006W/YJL010C/YGL099W/YGR285C/YLR106C/YHR170W/YGL016W/YER009W/YLR293C/YGR128C/YPL226W/YDL063C/YMR308C/YDR101C/YAL059W/YLR018C/YPL093W/YNL298W/YNL209W/YER036C/YGR090W/YLR264W/YKL009W/YGL123W/YLL024C/YGL135W/YPL220W/YER110C/YNL178W/YOL121C/YGL189C/YDR450W/YML026C/YMR230W/YDL229W/YIL148W/YKR094C/YKR092C/YJR123W/YDR091C/YOR293W/YER131W/YLR048W/YGR214W/YOL040C/YOR167C/YNL302C",83,"corrected_B1_WT_vs_B1_ATG","Down","BP_nucleocytoplasmic transport"
"BP","GO:0051169","nuclear transport",0.0558546433378196,0.0313257182416061,2.17224035123149e-09,1.12111738127448e-07,1.01053637392085e-07,"YGL238W/YLR347C/YDL084W/YGL097W/YPR112C/YDR381W/YBR247C/YER107C/YNL189W/YPL239W/YJR132W/YKL057C/YJR072C/YKL068W/YLR335W/YBL051C/YBL016W/YLL034C/YOR294W/YKL205W/YPR016C/YML103C/YBR034C/YBR118W/YPR080W/YAR002W/YOR112W/YDR395W/YPL169C/YOR046C/YNL055C/YMR235C/YNL064C/YER120W/YGR245C/YIR026C/YER006W/YJL010C/YGL099W/YGR285C/YLR106C/YHR170W/YGL016W/YER009W/YLR293C/YGR128C/YPL226W/YDL063C/YMR308C/YDR101C/YAL059W/YLR018C/YPL093W/YNL298W/YNL209W/YER036C/YGR090W/YLR264W/YKL009W/YGL123W/YLL024C/YGL135W/YPL220W/YER110C/YNL178W/YOL121C/YGL189C/YDR450W/YML026C/YMR230W/YDL229W/YIL148W/YKR094C/YKR092C/YJR123W/YDR091C/YOR293W/YER131W/YLR048W/YGR214W/YOL040C/YOR167C/YNL302C",83,"corrected_B1_WT_vs_B1_ATG","Down","BP_nuclear transport"
"BP","GO:0006417","regulation of translation",0.0551816958277254,0.03288335064036,8.16162591464058e-08,3.36984465542271e-06,3.03746124682881e-06,"YDR194C/YNR045W/YMR247C/YCR059C/YJL087C/YLR172C/YGR083C/YLR203C/YCR077C/YNR052C/YOL021C/YNL232W/YPL215W/YBR212W/YGR222W/YCR093W/YDR172W/YKL025C/YGR158C/YDL224C/YDR432W/YIL137C/YOR276W/YLR291C/YGR195W/YBR246W/YPL184C/YNL244C/YDL111C/YOR001W/YGL169W/YIL110W/YGL195W/YDL160C/YFR009W/YNL288W/YOR260W/YAL021C/YGL178W/YLL013C/YPR041W/YJL050W/YDR496C/YER025W/YDR266C/YER165W/YGR162W/YKR026C/YKL191W/YER049W/YJR091C/YNL112W/YBL024W/YJL138C/YKR059W/YPL226W/YOL139C/YGR054W/YOR051C/YOR204W/YNL255C/YDR385W/YOR133W/YAL003W/YPR129W/YEL034W/YLR264W/YLR212C/YBR189W/YGL123W/YGL014W/YER153C/YNL197C/YNL069C/YCL037C/YLR150W/YIL133C/YDR091C/YOR359W/YOR167C/YMR116C/YJR047C",82,"corrected_B1_WT_vs_B1_ATG","Down","BP_regulation of translation"
"CC","GO:0022625","cytosolic large ribosomal subunit",0.0538720538720539,0.0143722943722944,5.13941829603445e-44,9.17386165842149e-42,7.87142486392645e-42,"YDL081C/YLR009W/YGL099W/YFL034C-A/YDL130W/YNL067W/YBL027W/YBR084C-A/YPL198W/YLR029C/YGR085C/YHL001W/YDR500C/YLR075W/YOR063W/YBL092W/YHL033C/YDL136W/YDL191W/YMR194W/YLR185W/YDL133C-A/YDL184C/YDR471W/YBL087C/YER117W/YOL127W/YLL045C/YGL135W/YPL220W/YPR102C/YHR010W/YLR344W/YGL103W/YNL301C/YOL120C/YJL177W/YLR406C/YNL069C/YGR034W/YLR340W/YOR234C/YIL052C/YDL075W/YFR031C-A/YIL018W/YIL133C/YPL131W/YBR191W/YHR141C/YNL162W/YGR148C/YJR094W-A/YPR043W/YPL249C-A/YKL180W/YPL143W/YIL148W/YKR094C/YGL076C/YDR418W/YEL054C/YLR061W/YOL039W/YPL079W/YMR142C/YML073C/YER056C-A/YBR031W/YKL006W/YGL031C/YDL082W/YDR012W/YLR325C/YLR448W/YGL147C/YDR382W/YFR032C-A/YGL030W/YJL189W",80,"corrected_B1_WT_vs_B1_ATG","Down","CC_cytosolic large ribosomal subunit"
"BP","GO:0030490","maturation of SSU-rRNA",0.0531628532974428,0.0200761509172724,4.61141948508546e-22,7.14001450274065e-20,6.43576175506225e-20,"YJR002W/YLR192C/YOL022C/YML093W/YER082C/YPL217C/YPR112C/YOR006C/YBR247C/YLR129W/YGR145W/YDR339C/YDR398W/YLL011W/YDR378C/YMR128W/YBL004W/YDL060W/YGR118W/YPR132W/YOR294W/YOR004W/YPR137W/YHR196W/YDL148C/YGL171W/YLR435W/YHR065C/YJL010C/YGR103W/YPL266W/YDR324C/YKL078W/YPL126W/YCL059C/YGR128C/YJL109C/YCR057C/YGL120C/YNR046W/YLR222C/YPL012W/YMR093W/YOR310C/YGR090W/YJL191W/YLR264W/YBR181C/YPL090C/YMR229C/YNL132W/YKL156W/YBR189W/YLR441C/YCR031C/YML063W/YHL015W/YDR450W/YML026C/YDL083C/YMR143W/YLR186W/YBR048W/YDR025W/YLR167W/YDR064W/YMR290C/YBL072C/YER102W/YLR048W/YER074W/YIL069C/YJL136C/YGR214W/YPR144C/YOR167C/YEL026W/YHR021C/YKR057W",79,"corrected_B1_WT_vs_B1_ATG","Down","BP_maturation of SSU-rRNA"
"BP","GO:0006399","tRNA metabolic process",0.0497981157469717,0.0320179993077189,1.08215364398217e-05,0.000309329457002903,0.000278818857906985,"YER168C/YDL047W/YBL026W/YLR091W/YJL087C/YOR251C/YMR259C/YNR015W/YNL251C/YGL245W/YNL119W/YLR405W/YOL021C/YLR384C/YNL232W/YGL232W/YMR312W/YHR070W/YDR378C/YKR056W/YKL110C/YNL292W/YOL093W/YPL086C/YGR158C/YNL062C/YIL008W/YML091C/YGR195W/YKL027W/YAL043C/YBR061C/YOR168W/YLR401C/YDL111C/YOR001W/YGL169W/YGR200C/YDL201W/YGL236C/YOL124C/YKR079C/YDL112W/YDR023W/YJL050W/YDL219W/YOR243C/YPL212C/YPL183C/YDR165W/YOL097C/YPR033C/YNL247W/YGL105W/YGR094W/YAR008W/YHR062C/YBL024W/YLL018C/YIL078W/YDR341C/YNR046W/YHR020W/YPL160W/YPR047W/YBL076C/YDL051W/YFL022C/YLR060W/YGR185C/YDR037W/YHR019C/YNL132W/YGR264C",74,"corrected_B1_WT_vs_B1_ATG","Down","BP_tRNA metabolic process"
"BP","GO:0015931","nucleobase-containing compound transport",0.0491251682368775,0.0327102803738318,5.02884535223755e-05,0.00126541353938523,0.00114059993267345,"YGL238W/YMR125W/YLR347C/YOR071C/YHR036W/YDL084W/YGL097W/YKL130C/YPR112C/YLR208W/YDR381W/YBR247C/YER107C/YAL022C/YBR130C/YKL057C/YEL004W/YKL068W/YLR335W/YBL051C/YDL198C/YKL205W/YPR128C/YML103C/YBR034C/YBR118W/YPR080W/YAR002W/YOR112W/YDR395W/YPL169C/YOR046C/YBL030C/YNL055C/YMR235C/YDL160C/YNL064C/YLR064W/YER056C/YGR082W/YER165W/YJR077C/YLL023C/YLR293C/YGR128C/YPL226W/YOR222W/YMR308C/YBL042C/YLR018C/YGR090W/YLR264W/YGL225W/YGL123W/YLL024C/YPR021C/YER110C/YNL178W/YOL121C/YGL189C/YIL040W/YDR450W/YML026C/YMR230W/YJR123W/YBR085W/YOR293W/YER131W/YLR048W/YGR214W/YOL040C/YOR167C/YNL302C",73,"corrected_B1_WT_vs_B1_ATG","Down","BP_nucleobase-containing compound transport"
"BP","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",0.0477792732166891,0.0179993077189339,4.95702302711139e-20,7.08472983413304e-18,6.3859300697443e-18,"YJR002W/YLR192C/YML093W/YER082C/YPL217C/YPR112C/YBR247C/YLR129W/YGR145W/YDR339C/YDR398W/YLL011W/YMR128W/YBL004W/YDL060W/YGR118W/YPR132W/YOR294W/YOR004W/YPR137W/YHR196W/YDL148C/YGL171W/YLR435W/YHR065C/YJL010C/YGR103W/YPL266W/YDR324C/YKL078W/YPL126W/YCL059C/YGR128C/YJL109C/YCR057C/YGL120C/YLR222C/YPL012W/YMR093W/YOR310C/YGR090W/YJL191W/YBR181C/YPL090C/YMR229C/YKL156W/YBR189W/YLR441C/YCR031C/YML063W/YHL015W/YDR450W/YML026C/YDL083C/YMR143W/YLR186W/YBR048W/YDR025W/YDR064W/YMR290C/YBL072C/YER102W/YLR048W/YER074W/YIL069C/YJL136C/YGR214W/YPR144C/YEL026W/YHR021C/YKR057W",71,"corrected_B1_WT_vs_B1_ATG","Down","BP_maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"BP","GO:0031503","protein-containing complex localization",0.0471063257065949,0.0276912426445137,3.93921199789845e-07,1.44606415119972e-05,1.30343213673942e-05,"YDL084W/YGL097W/YPR112C/YDR381W/YBR247C/YER107C/YNL189W/YPL239W/YKL057C/YKL068W/YLR335W/YBL051C/YLL034C/YOR294W/YKL205W/YPR016C/YML103C/YBR034C/YBR118W/YPR080W/YAR002W/YOR112W/YDR395W/YPL169C/YOR046C/YMR235C/YLR229C/YBL010C/YGR245C/YIR026C/YER006W/YJL010C/YGL099W/YGR285C/YLR106C/YHR170W/YJR091C/YLR293C/YGR128C/YPL226W/YMR308C/YDR101C/YAL059W/YPL093W/YNL209W/YER036C/YGR090W/YLR264W/YKL009W/YGL123W/YGL135W/YPL220W/YNL178W/YOL121C/YGL189C/YDR450W/YML026C/YMR230W/YDL229W/YIL148W/YKR094C/YJR123W/YDR091C/YOR293W/YER131W/YLR048W/YGR214W/YOL040C/YOR167C/YNL302C",70,"corrected_B1_WT_vs_B1_ATG","Down","BP_protein-containing complex localization"
